Job Title,Location,Currency,Min,Max,Compensation Range
HR Business Partner,SYD,AUD,126000,170000,"$126,000 - $170,000"
Sales Manager,STL,USD,101000,136000,"$101,000 - $136,000"
System Administrator,SEA,USD,93000,127000,"$93,000 - $127,000"
Project Manager,SYD,AUD,120000,163000,"$120,000 - $163,000"
System Administrator,SHA,CNY,274000,371000,"¥274,000 - ¥371,000"
HR Generalist,STL,USD,54000,73000,"$54,000 - $73,000"
Software Engineer,DUB,EUR,87000,119000,"€87,000 - €119,000"
Chief of Staff,SIN,SGD,221000,300000,"$221,000 - $300,000"
Marketing Manager,DUB,EUR,76000,103000,"€76,000 - €103,000"
Chief of Staff,SHA,CNY,581000,786000,"¥581,000 - ¥786,000"
HR Generalist,SHA,CNY,242000,327000,"¥242,000 - ¥327,000"
Recruiter,SYD,AUD,91000,124000,"$91,000 - $124,000"
Marketing Manager,STL,USD,72000,97000,"$72,000 - $97,000"
HR Business Partner,SHA,CNY,355000,480000,"¥355,000 - ¥480,000"
Software Engineer,SIN,SGD,141000,191000,"$141,000 - $191,000"
UI Designer,LAX,USD,100000,136000,"$100,000 - $136,000"
Mobile Developer,SIN,SGD,147000,200000,"$147,000 - $200,000"
Procurement Specialist,SIN,SGD,104000,141000,"$104,000 - $141,000"
Customer Success Manager,SEA,USD,88000,119000,"$88,000 - $119,000"
Director of Engineering,SHA,CNY,742000,1005000,"¥742,000 - ¥1,005,000"
Product Manager,SEA,USD,149000,201000,"$149,000 - $201,000"
Software Engineer,STL,USD,83000,112000,"$83,000 - $112,000"
Procurement Specialist,LAX,USD,90000,122000,"$90,000 - $122,000"
SEO Specialist,SYD,AUD,86000,116000,"$86,000 - $116,000"
Social Media Manager,STL,USD,50000,68000,"$50,000 - $68,000"
VP of Sales,SIN,SGD,258000,350000,"$258,000 - $350,000"
DevOps Engineer,SIN,SGD,160000,216000,"$160,000 - $216,000"
QA Engineer,DUB,EUR,68000,93000,"€68,000 - €93,000"
Project Manager,SEA,USD,116000,156000,"$116,000 - $156,000"
Security Analyst,STL,USD,83000,112000,"$83,000 - $112,000"
Customer Support Lead,LAX,USD,69000,93000,"$69,000 - $93,000"
Senior Software Engineer,DUB,EUR,126000,170000,"€126,000 - €170,000"
Operations Manager,DUB,EUR,80000,108000,"€80,000 - €108,000"
SEO Specialist,SIN,SGD,92000,125000,"$92,000 - $125,000"
Brand Manager,LAX,USD,116000,158000,"$116,000 - $158,000"
Data Scientist,SHA,CNY,403000,546000,"¥403,000 - ¥546,000"
System Administrator,DUB,EUR,65000,87000,"€65,000 - €87,000"
Frontend Developer,STL,USD,79000,107000,"$79,000 - $107,000"
Data Analyst,STL,USD,61000,83000,"$61,000 - $83,000"
Customer Support Lead,DUB,EUR,49000,67000,"€49,000 - €67,000"
Backend Developer,SIN,SGD,141000,191000,"$141,000 - $191,000"
Procurement Specialist,SEA,USD,93000,127000,"$93,000 - $127,000"
Data Analyst,SYD,AUD,97000,131000,"$97,000 - $131,000"
Cloud Architect,DUB,EUR,122000,165000,"€122,000 - €165,000"
Procurement Specialist,STL,USD,61000,83000,"$61,000 - $83,000"
Customer Success Manager,DUB,EUR,61000,82000,"€61,000 - €82,000"
VP of Sales,DUB,EUR,160000,217000,"€160,000 - €217,000"
UX Designer,SIN,SGD,135000,183000,"$135,000 - $183,000"
Tech Lead,STL,USD,130000,175000,"$130,000 - $175,000"
VP of Sales,SHA,CNY,678000,917000,"¥678,000 - ¥917,000"
Staff Engineer,SIN,SGD,258000,350000,"$258,000 - $350,000"
Sales Manager,SYD,AUD,160000,217000,"$160,000 - $217,000"
Operations Manager,SEA,USD,116000,156000,"$116,000 - $156,000"
Product Manager,SYD,AUD,154000,209000,"$154,000 - $209,000"
Brand Manager,SIN,SGD,135000,183000,"$135,000 - $183,000"
Sales Manager,LAX,USD,148000,201000,"$148,000 - $201,000"
System Administrator,SYD,AUD,97000,131000,"$97,000 - $131,000"
DevOps Engineer,STL,USD,93000,127000,"$93,000 - $127,000"
Mobile Developer,SEA,USD,132000,179000,"$132,000 - $179,000"
Business Analyst,LAX,USD,100000,136000,"$100,000 - $136,000"
Security Analyst,SIN,SGD,141000,191000,"$141,000 - $191,000"
Operations Coordinator,DUB,EUR,42000,56000,"€42,000 - €56,000"
Operations Manager,SYD,AUD,120000,163000,"$120,000 - $163,000"
Executive Assistant,SYD,AUD,91000,124000,"$91,000 - $124,000"
SEO Specialist,DUB,EUR,57000,77000,"€57,000 - €77,000"
Account Executive,SHA,CNY,306000,415000,"¥306,000 - ¥415,000"
Tech Lead,DUB,EUR,137000,186000,"€137,000 - €186,000"
Content Strategist,STL,USD,61000,83000,"$61,000 - $83,000"
Accountant,STL,USD,54000,73000,"$54,000 - $73,000"
Network Engineer,DUB,EUR,76000,103000,"€76,000 - €103,000"
Customer Success Manager,LAX,USD,85000,114000,"$85,000 - $114,000"
Legal Counsel,SIN,SGD,209000,283000,"$209,000 - $283,000"
Director of Engineering,SEA,USD,254000,343000,"$254,000 - $343,000"
Executive Assistant,SHA,CNY,258000,349000,"¥258,000 - ¥349,000"
Product Manager,SIN,SGD,166000,225000,"$166,000 - $225,000"
Controller,STL,USD,93000,127000,"$93,000 - $127,000"
Product Manager,DUB,EUR,103000,139000,"€103,000 - €139,000"
Cloud Architect,SYD,AUD,183000,248000,"$183,000 - $248,000"
Procurement Specialist,SYD,AUD,97000,131000,"$97,000 - $131,000"
Sales Representative,STL,USD,46000,63000,"$46,000 - $63,000"
Cloud Architect,STL,USD,115000,156000,"$115,000 - $156,000"
Tech Lead,SEA,USD,198000,269000,"$198,000 - $269,000"
Brand Manager,DUB,EUR,84000,113000,"€84,000 - €113,000"
Legal Counsel,SHA,CNY,549000,742000,"¥549,000 - ¥742,000"
UI Designer,STL,USD,68000,92000,"$68,000 - $92,000"
Network Engineer,SYD,AUD,114000,155000,"$114,000 - $155,000"
Mobile Developer,STL,USD,86000,117000,"$86,000 - $117,000"
Office Manager,STL,USD,43000,58000,"$43,000 - $58,000"
Security Analyst,DUB,EUR,87000,119000,"€87,000 - €119,000"
Sales Representative,SEA,USD,71000,97000,"$71,000 - $97,000"
Marketing Manager,SHA,CNY,323000,436000,"¥323,000 - ¥436,000"
Software Engineer,SEA,USD,127000,171000,"$127,000 - $171,000"
UX Designer,SYD,AUD,126000,170000,"$126,000 - $170,000"
Network Engineer,STL,USD,72000,97000,"$72,000 - $97,000"
QA Engineer,SEA,USD,99000,134000,"$99,000 - $134,000"
Accountant,LAX,USD,79000,107000,"$79,000 - $107,000"
HR Generalist,SIN,SGD,92000,125000,"$92,000 - $125,000"
Network Engineer,SHA,CNY,323000,436000,"¥323,000 - ¥436,000"
Cloud Architect,LAX,USD,170000,229000,"$170,000 - $229,000"
Marketing Manager,LAX,USD,106000,143000,"$106,000 - $143,000"
